Date,Open,High,Low,Close,Adj Close,Volume
2015-11-30,83.099998,83.150002,82.989998,83.050003,63.922379,5356300
2015-12-01,82.849998,83.279999,82.800003,83.239998,64.377121,9849200
2015-12-02,83.180000,83.440002,83.029999,83.070000,64.245636,11871300
2015-12-03,82.919998,83.129997,82.720001,82.849998,64.075516,15290200
2015-12-04,82.800003,82.930000,82.500000,82.660004,63.928581,14027900
2015-12-07,82.330002,82.500000,82.019997,82.080002,63.480019,11989900
2015-12-08,81.430000,81.620003,80.959999,81.059998,62.691154,25199100
2015-12-09,81.059998,81.699997,81.050003,81.480003,63.015980,16703900
2015-12-10,81.269997,81.570000,81.000000,81.139999,62.753014,14206800
2015-12-11,80.540001,80.540001,78.620003,79.519997,61.500122,54233300
2015-12-14,79.400002,79.510002,78.209999,78.830002,60.966480,38540500
2015-12-15,79.800003,80.449997,79.760002,80.120003,61.964161,36337800
2015-12-16,80.389999,80.889999,80.059998,80.730003,62.435928,30575300
2015-12-17,80.699997,80.809998,79.800003,79.830002,61.739868,17345300
2015-12-18,79.559998,79.790001,79.339996,79.529999,61.507851,23548900
2015-12-21,79.699997,79.900002,79.070000,79.279999,61.314526,14468700
2015-12-22,79.400002,80.260002,79.360001,80.239998,62.056957,12569500
2015-12-23,80.510002,80.889999,80.419998,80.750000,62.451397,12824900
2015-12-24,80.349998,80.699997,80.269997,80.489998,62.578922,5284300
2015-12-28,80.239998,80.250000,79.879997,80.010002,62.205700,7151600
2015-12-29,80.160004,80.529999,80.150002,80.470001,62.563347,7485500
2015-12-30,80.370003,80.639999,80.180000,80.529999,62.609989,13145300
2015-12-31,80.480003,80.879997,80.389999,80.580002,62.648884,7935200
2016-01-04,80.010002,80.160004,79.669998,80.099998,62.275677,14787700
2016-01-05,80.339996,80.529999,80.070000,80.250000,62.392307,11491300
2016-01-06,79.930000,80.330002,79.930000,80.250000,62.392307,11320100
2016-01-07,79.669998,80.000000,79.620003,79.730003,61.987999,11004700
2016-01-08,80.040001,80.220001,79.500000,79.519997,61.824745,17902100
2016-01-11,79.860001,79.949997,79.309998,79.400002,61.731464,16917700
2016-01-12,79.889999,79.949997,79.300003,79.480003,61.793659,15217700
2016-01-13,79.540001,79.620003,78.489998,78.599998,61.109486,20352700
2016-01-14,78.660004,79.040001,78.279999,78.949997,61.381577,18572700
2016-01-15,77.669998,78.680000,77.419998,77.910004,60.573009,27309900
2016-01-19,77.949997,78.129997,77.389999,77.639999,60.363087,15975700
2016-01-20,77.029999,77.419998,75.820000,77.120003,59.958813,25973500
2016-01-21,77.120003,77.959999,76.800003,77.639999,60.363087,20065800
2016-01-22,78.400002,78.919998,78.239998,78.830002,61.288300,17653100
2016-01-25,78.589996,78.739998,78.029999,78.050003,60.681850,16448400
2016-01-26,78.360001,78.790001,78.180000,78.750000,61.226093,12010900
2016-01-27,78.720001,79.080002,78.379997,78.629997,61.132813,14563000
2016-01-28,79.110001,79.290001,78.739998,79.029999,61.443802,14622600
2016-01-29,79.199997,79.449997,79.129997,79.290001,61.645908,14218700
2016-02-01,78.760002,78.790001,78.309998,78.430000,61.279484,8865500
2016-02-02,78.050003,78.220001,77.830002,77.870003,60.841946,15442100
2016-02-03,78.110001,78.400002,77.629997,78.250000,61.138840,15465200
2016-02-04,78.220001,78.389999,77.930000,78.000000,60.943516,8989700
2016-02-05,77.989998,77.989998,77.279999,77.400002,60.474747,14632300
2016-02-08,76.769997,76.800003,76.279999,76.500000,59.771538,15649900
2016-02-09,76.089996,76.559998,75.870003,76.209999,59.544941,18685000
2016-02-10,76.410004,76.730003,75.949997,76.099998,59.459011,13086000
2016-02-11,75.349998,75.870003,75.089996,75.589996,59.060520,22158200
2016-02-12,75.860001,76.790001,75.769997,76.720001,59.943420,17751500
2016-02-16,76.809998,77.029999,76.690002,76.790001,59.998089,14106000
2016-02-17,77.180000,77.589996,77.110001,77.419998,60.490330,16353000
2016-02-18,77.699997,77.750000,77.440002,77.489998,60.545036,13247300
2016-02-19,77.150002,77.680000,77.050003,77.639999,60.662224,12879900
2016-02-22,78.040001,78.349998,77.949997,78.309998,61.185738,13826600
2016-02-23,78.059998,78.279999,77.739998,78.150002,61.060730,16809700
2016-02-24,77.559998,78.370003,77.459999,78.279999,61.162308,13622100
2016-02-25,78.330002,78.730003,78.059998,78.699997,61.490440,10699100
2016-02-26,78.949997,79.300003,78.860001,79.230003,61.904537,12060200
2016-02-29,79.279999,80.129997,79.260002,80.080002,62.568668,23746800
2016-03-01,79.830002,81.010002,79.540001,80.919998,63.557529,24023200
2016-03-02,80.500000,80.610001,80.220001,80.370003,63.125576,14987400
2016-03-03,80.269997,80.870003,79.989998,80.639999,63.337601,12018400
2016-03-04,80.779999,81.239998,80.500000,80.870003,63.518272,18029900
2016-03-07,80.680000,81.000000,80.669998,80.970001,63.596806,12656200
2016-03-08,80.790001,80.849998,80.360001,80.400002,63.149117,17813700
2016-03-09,80.550003,80.699997,80.360001,80.599998,63.306179,7699600
2016-03-10,81.059998,81.190002,80.550003,81.160004,63.746056,18167000
2016-03-11,81.720001,82.260002,81.639999,82.139999,64.515762,18662700
2016-03-14,81.879997,82.059998,81.529999,81.910004,64.335129,12512400
2016-03-15,81.400002,81.480003,81.110001,81.150002,63.738186,16442600
2016-03-16,80.930000,81.989998,80.820000,81.690002,64.162315,21567100
2016-03-17,81.879997,82.349998,81.720001,82.209999,64.570755,18423000
2016-03-18,82.300003,82.610001,82.279999,82.400002,64.720009,12922000
2016-03-21,82.389999,82.459999,82.139999,82.309998,64.649323,12653600
2016-03-22,82.139999,82.250000,81.980003,82.089996,64.476517,8941200
2016-03-23,82.070000,82.070000,81.680000,81.709999,64.178017,11354200
2016-03-24,81.120003,81.489998,81.080002,81.349998,63.895279,13497800
2016-03-28,81.260002,81.430000,80.940002,80.980003,63.604675,11298900
2016-03-29,80.739998,81.320000,80.680000,81.290001,63.848156,11348400
2016-03-30,81.440002,81.709999,81.389999,81.580002,64.075951,11796400
2016-03-31,81.489998,81.900002,81.480003,81.690002,64.162315,9436700
2016-04-01,80.980003,81.510002,80.800003,81.370003,64.208893,10822400
2016-04-04,81.260002,81.510002,81.080002,81.169998,64.051071,9269700
2016-04-05,80.820000,81.070000,80.779999,80.870003,63.814342,13254500
2016-04-06,81.010002,81.620003,80.980003,81.550003,64.350914,13935000
2016-04-07,81.220001,81.410004,81.059998,81.150002,64.035286,11306100
2016-04-08,81.580002,81.639999,81.419998,81.519997,64.327240,7953000
2016-04-11,81.650002,81.860001,81.620003,81.629997,64.414040,8126900
2016-04-12,81.769997,82.139999,81.720001,82.110001,64.792801,11772800
2016-04-13,82.309998,82.820000,82.309998,82.650002,65.218933,13596100
2016-04-14,82.650002,82.730003,82.500000,82.620003,65.195259,10758400
2016-04-15,82.470001,82.570000,82.400002,82.489998,65.092659,7857300
2016-04-18,82.160004,82.970001,82.129997,82.959999,65.463562,9211400
2016-04-19,83.150002,83.410004,83.080002,83.309998,65.739723,11623600
2016-04-20,83.379997,83.699997,83.220001,83.470001,65.865982,10128800
2016-04-21,83.570000,83.599998,83.169998,83.209999,65.660820,13349500
2016-04-22,83.279999,83.449997,83.209999,83.400002,65.810745,10982300
2016-04-25,83.250000,83.370003,83.050003,83.080002,65.558243,8972400
2016-04-26,83.290001,83.370003,83.160004,83.360001,65.779190,8291000
2016-04-27,83.440002,83.910004,83.410004,83.849998,66.165848,10505400
2016-04-28,83.830002,84.040001,83.650002,83.709999,66.055374,9229000
