Series ID,Year,Period,Label,Value
CUUR0000SA0,2018,M01,2018 Jan,247.867
CUUR0000SA0,2018,M02,2018 Feb,248.991
CUUR0000SA0,2018,M03,2018 Mar,249.554
CUUR0000SA0,2018,M04,2018 Apr,250.546
CUUR0000SA0,2018,M05,2018 May,251.588
CUUR0000SA0,2018,M06,2018 Jun,251.989
CUUR0000SA0,2018,M07,2018 Jul,252.006
CUUR0000SA0,2018,M08,2018 Aug,252.146
CUUR0000SA0,2018,M09,2018 Sep,252.439
CUUR0000SA0,2018,M10,2018 Oct,252.885
CUUR0000SA0,2018,M11,2018 Nov,252.038
CUUR0000SA0,2018,M12,2018 Dec,251.233
CUUR0000SA0,2019,M01,2019 Jan,251.712
CUUR0000SA0,2019,M02,2019 Feb,252.776
CUUR0000SA0,2019,M03,2019 Mar,254.202
CUUR0000SA0,2019,M04,2019 Apr,255.548
CUUR0000SA0,2019,M05,2019 May,256.092
CUUR0000SA0,2019,M06,2019 Jun,256.143
CUUR0000SA0,2019,M07,2019 Jul,256.571
CUUR0000SA0,2019,M08,2019 Aug,256.558
CUUR0000SA0,2019,M09,2019 Sep,256.759
CUUR0000SA0,2019,M10,2019 Oct,257.346
CUUR0000SA0,2019,M11,2019 Nov,257.208
CUUR0000SA0,2019,M12,2019 Dec,256.974
CUUR0000SA0,2020,M01,2020 Jan,257.971
CUUR0000SA0,2020,M02,2020 Feb,258.678
CUUR0000SA0,2020,M03,2020 Mar,258.115
CUUR0000SA0,2020,M04,2020 Apr,256.389
CUUR0000SA0,2020,M05,2020 May,256.394
CUUR0000SA0,2020,M06,2020 Jun,257.797
CUUR0000SA0,2020,M07,2020 Jul,259.101
CUUR0000SA0,2020,M08,2020 Aug,259.918
CUUR0000SA0,2020,M09,2020 Sep,260.280
CUUR0000SA0,2020,M10,2020 Oct,260.388
CUUR0000SA0,2020,M11,2020 Nov,260.229
