Date,Open,High,Low,Close,Adj Close,Volume
2015-12-14,8.630000,9.050000,8.630000,9.030000,9.030000,747700
2015-12-15,9.540000,9.700000,9.250000,9.510000,9.510000,2131600
2015-12-16,9.620000,9.880000,9.520000,9.790000,9.790000,1273000
2015-12-17,9.760000,9.950000,9.560000,9.590000,9.590000,706400
2015-12-18,9.550000,9.630000,8.605000,8.620000,8.620000,2215100
2015-12-21,8.710000,8.757000,8.415000,8.710000,8.710000,658300
2015-12-22,8.100000,8.790000,8.000000,8.780000,8.780000,1003500
2015-12-23,8.830000,9.100000,8.755000,8.840000,8.840000,705700
2015-12-24,8.810000,9.020000,8.760000,8.920000,8.920000,335400
2015-12-28,8.840000,8.920000,8.400000,8.520000,8.520000,1065100
2015-12-29,8.520000,8.600000,8.230000,8.510000,8.510000,792800
2015-12-30,8.450000,8.510000,8.370000,8.480000,8.480000,813600
2015-12-31,8.390000,8.530000,8.235000,8.260000,8.260000,1213000
2016-01-04,8.180000,8.300000,8.000000,8.240000,8.240000,1063700
2016-01-05,8.240000,8.550000,8.080000,8.510000,8.510000,698500
2016-01-06,8.300000,8.820000,8.150000,8.800000,8.800000,939300
2016-01-07,8.610000,9.050000,8.360000,8.670000,8.670000,1167700
2016-01-08,8.740000,8.870000,8.350000,8.380000,8.380000,785800
2016-01-11,8.120000,8.200000,7.430000,7.440000,7.440000,1964900
2016-01-12,7.440000,7.500000,6.890000,7.350000,7.350000,1698400
2016-01-13,7.390000,7.580000,6.760000,6.990000,6.990000,1185300
2016-01-14,7.040000,7.280000,6.680000,7.070000,7.070000,1943900
2016-01-15,6.930000,7.030000,6.660000,7.000000,7.000000,798800
2016-01-19,7.060000,7.100000,6.545000,6.650000,6.650000,1425900
2016-01-20,6.540000,7.000000,6.040000,6.880000,6.880000,1631800
2016-01-21,6.920000,7.260000,6.710000,6.990000,6.990000,1167300
2016-01-22,7.110000,7.455000,7.060000,7.420000,7.420000,888300
2016-01-25,7.360000,7.440000,7.210000,7.250000,7.250000,807200
2016-01-26,7.240000,7.420000,7.030000,7.380000,7.380000,434500
2016-01-27,7.320000,7.440000,7.210000,7.300000,7.300000,484900
2016-01-28,7.370000,7.590000,7.080000,7.490000,7.490000,1355300
2016-01-29,7.480000,7.780000,7.360000,7.760000,7.760000,1190000
2016-02-01,7.750000,7.750000,7.360000,7.550000,7.550000,840400
2016-02-02,7.400000,7.430000,7.030000,7.120000,7.120000,1739000
2016-02-03,7.100000,7.540000,6.910000,7.320000,7.320000,954700
2016-02-04,7.250000,7.520000,7.100000,7.480000,7.480000,748300
2016-02-05,7.410000,7.460000,6.980000,7.030000,7.030000,1125100
2016-02-08,6.930000,6.990000,6.400000,6.720000,6.720000,1052500
2016-02-09,6.650000,6.830000,6.176000,6.360000,6.360000,900900
2016-02-10,6.370000,6.990000,6.360000,6.720000,6.720000,863400
2016-02-11,6.580000,6.890000,6.440000,6.730000,6.730000,527900
2016-02-12,6.780000,6.990000,6.480000,6.900000,6.900000,601300
2016-02-16,7.000000,7.610000,6.750000,7.490000,7.490000,2044200
2016-02-17,7.530000,8.430000,7.440000,8.040000,8.040000,4621800
2016-02-18,8.030000,8.100000,7.500000,7.800000,7.800000,1177200
2016-02-19,7.710000,8.020000,7.610000,7.930000,7.930000,1064100
2016-02-22,8.050000,8.080000,7.710000,7.950000,7.950000,1018900
2016-02-23,8.040000,8.060000,7.300000,7.390000,7.390000,3893200
2016-02-24,8.500000,8.531000,7.660000,7.900000,7.900000,8775600
2016-02-25,7.890000,8.080000,7.210000,7.900000,7.900000,3543400
2016-02-26,7.970000,8.000000,7.520000,7.650000,7.650000,2888000
2016-02-29,7.650000,7.960000,7.310000,7.940000,7.940000,3462700
2016-03-01,8.000000,8.520000,7.910000,8.360000,8.360000,3106900
2016-03-02,8.350000,9.150000,8.300000,8.920000,8.920000,2596100
2016-03-03,8.960000,9.040000,8.710000,8.890000,8.890000,1862800
2016-03-04,8.900000,9.160000,8.640000,8.820000,8.820000,1652800
2016-03-07,8.620000,9.030000,8.610000,8.940000,8.940000,1502800
2016-03-08,8.800000,9.010000,8.640000,8.680000,8.680000,1198700
2016-03-09,8.750000,8.895000,8.420000,8.740000,8.740000,1086600
2016-03-10,8.810000,9.180000,8.780000,9.060000,9.060000,1719900
2016-03-11,9.230000,9.390000,9.050000,9.270000,9.270000,1426500
2016-03-14,9.190000,9.320000,8.815000,9.050000,9.050000,1185600
2016-03-15,8.830000,9.180000,8.800000,9.170000,9.170000,1523100
2016-03-16,9.120000,9.245000,8.940000,9.160000,9.160000,713900
2016-03-17,9.120000,9.340000,9.090000,9.270000,9.270000,708500
2016-03-18,9.250000,9.400000,9.100000,9.230000,9.230000,1564400
2016-03-21,9.140000,9.260000,8.960000,9.060000,9.060000,1170200
2016-03-22,9.060000,9.295000,9.010000,9.150000,9.150000,687000
2016-03-23,9.060000,9.180000,8.780000,8.870000,8.870000,1409100
2016-03-24,8.760000,9.010000,8.480000,8.850000,8.850000,1127800
2016-03-28,8.850000,8.970000,8.210000,8.700000,8.700000,1004000
2016-03-29,8.610000,8.866000,8.365000,8.750000,8.750000,847100
2016-03-30,8.850000,8.993000,8.625000,8.910000,8.910000,829000
