Date,Close,Volume,100_MA
2015-12-14,9.03,747700,
2015-12-15,9.51,2131600,
2015-12-16,9.79,1273000,
2015-12-17,9.59,706400,
2015-12-18,8.62,2215100,
2015-12-21,8.71,658300,
2015-12-22,8.78,1003500,
2015-12-23,8.84,705700,
2015-12-24,8.92,335400,
2015-12-28,8.52,1065100,
2015-12-29,8.51,792800,
2015-12-30,8.48,813600,
2015-12-31,8.26,1213000,
2016-01-04,8.24,1063700,
2016-01-05,8.51,698500,
2016-01-06,8.8,939300,
2016-01-07,8.67,1167700,
2016-01-08,8.38,785800,
2016-01-11,7.44,1964900,
2016-01-12,7.35,1698400,
2016-01-13,6.99,1185300,
2016-01-14,7.07,1943900,
2016-01-15,7.0,798800,
2016-01-19,6.65,1425900,
2016-01-20,6.88,1631800,
2016-01-21,6.99,1167300,
2016-01-22,7.42,888300,
2016-01-25,7.25,807200,
2016-01-26,7.38,434500,
2016-01-27,7.3,484900,
2016-01-28,7.49,1355300,
2016-01-29,7.76,1190000,
2016-02-01,7.55,840400,
2016-02-02,7.12,1739000,
2016-02-03,7.32,954700,
2016-02-04,7.48,748300,
2016-02-05,7.03,1125100,
2016-02-08,6.72,1052500,
2016-02-09,6.36,900900,
2016-02-10,6.72,863400,
2016-02-11,6.73,527900,
2016-02-12,6.9,601300,
2016-02-16,7.49,2044200,
2016-02-17,8.04,4621800,
2016-02-18,7.8,1177200,
2016-02-19,7.93,1064100,
2016-02-22,7.95,1018900,
2016-02-23,7.39,3893200,
2016-02-24,7.9,8775600,
2016-02-25,7.9,3543400,
2016-02-26,7.65,2888000,
2016-02-29,7.94,3462700,
2016-03-01,8.36,3106900,
2016-03-02,8.92,2596100,
2016-03-03,8.89,1862800,
2016-03-04,8.82,1652800,
2016-03-07,8.94,1502800,
2016-03-08,8.68,1198700,
2016-03-09,8.74,1086600,
2016-03-10,9.06,1719900,
2016-03-11,9.27,1426500,
2016-03-14,9.05,1185600,
2016-03-15,9.17,1523100,
2016-03-16,9.16,713900,
2016-03-17,9.27,708500,
2016-03-18,9.23,1564400,
2016-03-21,9.06,1170200,
2016-03-22,9.15,687000,
2016-03-23,8.87,1409100,
2016-03-24,8.85,1127800,
2016-03-28,8.7,1004000,
2016-03-29,8.75,847100,
2016-03-30,8.91,829000,
2016-03-31,8.7,683400,
2016-04-01,8.67,1078600,
2016-04-04,8.71,821900,
2016-04-05,8.32,1060200,
2016-04-06,8.48,736900,
2016-04-07,8.38,807200,
2016-04-08,8.26,958000,
2016-04-11,8.05,3454600,
2016-04-12,8.25,1968800,
2016-04-13,8.49,1924400,
2016-04-14,8.46,943100,
2016-04-15,8.77,1371800,
2016-04-18,8.83,992300,
2016-04-19,8.83,1314900,
2016-04-20,8.79,712400,
2016-04-21,8.98,1403600,
2016-04-22,9.025,599800,
2016-04-25,9.0,575100,
2016-04-26,9.06,1276800,
2016-04-27,9.33,961800,
2016-04-28,8.7,1670800,
2016-04-29,8.78,1053100,
2016-05-02,8.51,1701900,
2016-05-03,8.4,2775700,
2016-05-04,8.82,8603900,
2016-05-05,8.97,2507800,
2016-05-06,8.27,4610700,8.287350000000002
2016-05-09,8.19,1626200,8.278950000000002
2016-05-10,8.41,1917300,8.267950000000003
2016-05-11,8.29,1209800,8.252950000000002
2016-05-12,8.28,1237600,8.23985
2016-05-13,8.59,1496200,8.239550000000001
2016-05-16,8.61,981100,8.238550000000002
2016-05-17,8.48,1020200,8.235550000000002
2016-05-18,8.34,1154400,8.230550000000001
2016-05-19,8.22,878000,8.223550000000003
2016-05-20,8.38,880700,8.222150000000003
2016-05-23,8.55,763000,8.222550000000002
2016-05-24,8.49,847900,8.222650000000002
2016-05-25,8.56,1046100,8.225650000000002
2016-05-26,8.86,1655500,8.231850000000001
2016-05-27,8.94,1153400,8.236150000000002
2016-05-31,9.25,1712400,8.240650000000002
2016-06-01,9.4,1587300,8.247950000000003
2016-06-02,9.32,1030100,8.257350000000004
2016-06-03,9.21,737300,8.275050000000004
2016-06-06,9.64,1204500,8.297950000000004
2016-06-07,9.63,1457000,8.324350000000003
2016-06-08,9.56,865000,8.349250000000001
2016-06-09,9.67,1097100,8.375950000000001
2016-06-10,9.44,933000,8.403850000000002
2016-06-13,9.57,1264500,8.430750000000003
2016-06-14,9.58,1365400,8.456650000000003
2016-06-15,9.79,1092600,8.480350000000003
2016-06-16,9.9,999400,8.506850000000004
2016-06-17,9.72,1527800,8.530250000000002
2016-06-20,10.0,1584000,8.557250000000003
2016-06-21,9.75,1893000,8.579850000000004
2016-06-22,9.58,1166300,8.598050000000004
2016-06-23,9.93,1756400,8.621850000000004
2016-06-24,9.26,11475200,8.643250000000004
2016-06-27,8.74,2740400,8.657450000000004
2016-06-28,8.84,759600,8.671050000000003
2016-06-29,9.41,885300,8.694850000000004
2016-06-30,9.59,746900,8.723550000000003
2016-07-01,9.66,487400,8.756550000000002
2016-07-05,9.46,628800,8.783950000000003
2016-07-06,9.2,1150200,8.808650000000004
2016-07-07,9.21,919100,8.831750000000005
2016-07-08,9.6,1347600,8.852850000000004
2016-07-11,9.71,1574200,8.869550000000006
2016-07-12,10.2,4255100,8.893550000000007
2016-07-13,10.16,1137400,8.915850000000006
